block,layer,position,prompt,rank_intermediate,rank_answer
C,17,12,What is the capital of the rival of the rival of Vuzanyel?,137708,75828
C,17,13,What is the capital of the rival of the rival of Vuzanyel?,146809,148729
C,17,14,What is the capital of the rival of the rival of Vuzanyel?,142686,150141
C,17,15,What is the capital of the rival of the rival of Vuzanyel?,126275,147576
C,18,10,What is the capital of the rival of the rival of Vuzanyel?,7,205
C,18,11,What is the capital of the rival of the rival of Vuzanyel?,17827,3524
C,18,12,What is the capital of the rival of the rival of Vuzanyel?,95295,63689
C,18,13,What is the capital of the rival of the rival of Vuzanyel?,146042,141547
C,18,14,What is the capital of the rival of the rival of Vuzanyel?,129232,143298
C,18,15,What is the capital of the rival of the rival of Vuzanyel?,115718,139679
C,19,10,What is the capital of the rival of the rival of Vuzanyel?,4,106
C,19,11,What is the capital of the rival of the rival of Vuzanyel?,2802,119
C,19,12,What is the capital of the rival of the rival of Vuzanyel?,10574,6620
C,19,13,What is the capital of the rival of the rival of Vuzanyel?,99985,87338
C,19,14,What is the capital of the rival of the rival of Vuzanyel?,96194,121411
C,19,15,What is the capital of the rival of the rival of Vuzanyel?,123285,136136
C,20,10,What is the capital of the rival of the rival of Vuzanyel?,0,260
C,20,11,What is the capital of the rival of the rival of Vuzanyel?,3549,2168
C,20,12,What is the capital of the rival of the rival of Vuzanyel?,7306,20122
C,20,13,What is the capital of the rival of the rival of Vuzanyel?,64680,78625
C,20,14,What is the capital of the rival of the rival of Vuzanyel?,40670,105120
C,20,15,What is the capital of the rival of the rival of Vuzanyel?,101958,143722
C,21,10,What is the capital of the rival of the rival of Vuzanyel?,0,1306
C,21,11,What is the capital of the rival of the rival of Vuzanyel?,3061,1654
C,21,12,What is the capital of the rival of the rival of Vuzanyel?,11966,18381
C,21,13,What is the capital of the rival of the rival of Vuzanyel?,59687,90294
C,21,14,What is the capital of the rival of the rival of Vuzanyel?,52709,81578
C,21,15,What is the capital of the rival of the rival of Vuzanyel?,113545,143813
C,22,10,What is the capital of the rival of the rival of Vuzanyel?,0,1538
C,22,11,What is the capital of the rival of the rival of Vuzanyel?,2316,4333
C,22,12,What is the capital of the rival of the rival of Vuzanyel?,10297,27312
C,22,13,What is the capital of the rival of the rival of Vuzanyel?,76862,127875
C,22,14,What is the capital of the rival of the rival of Vuzanyel?,67154,101528
C,22,15,What is the capital of the rival of the rival of Vuzanyel?,118020,146415
C,23,10,What is the capital of the rival of the rival of Vuzanyel?,0,1533
C,23,11,What is the capital of the rival of the rival of Vuzanyel?,2006,4030
C,23,12,What is the capital of the rival of the rival of Vuzanyel?,8061,14650
C,23,13,What is the capital of the rival of the rival of Vuzanyel?,29654,86786
C,23,14,What is the capital of the rival of the rival of Vuzanyel?,31104,106640
C,23,15,What is the capital of the rival of the rival of Vuzanyel?,120031,145841
C,24,10,What is the capital of the rival of the rival of Vuzanyel?,3,453
C,24,11,What is the capital of the rival of the rival of Vuzanyel?,2938,3874
C,24,12,What is the capital of the rival of the rival of Vuzanyel?,5235,9113
C,24,13,What is the capital of the rival of the rival of Vuzanyel?,30253,55776
C,24,14,What is the capital of the rival of the rival of Vuzanyel?,40771,42433
C,24,15,What is the capital of the rival of the rival of Vuzanyel?,119819,143349
C,25,10,What is the capital of the rival of the rival of Vuzanyel?,11,74
C,25,11,What is the capital of the rival of the rival of Vuzanyel?,4204,5500
C,25,12,What is the capital of the rival of the rival of Vuzanyel?,3826,11507
C,25,13,What is the capital of the rival of the rival of Vuzanyel?,14249,20133
C,25,14,What is the capital of the rival of the rival of Vuzanyel?,50795,26080
C,25,15,What is the capital of the rival of the rival of Vuzanyel?,109073,136847
C,26,10,What is the capital of the rival of the rival of Vuzanyel?,3,50
C,26,11,What is the capital of the rival of the rival of Vuzanyel?,2868,2322
C,26,12,What is the capital of the rival of the rival of Vuzanyel?,2074,2012
C,26,13,What is the capital of the rival of the rival of Vuzanyel?,9977,9919
C,26,14,What is the capital of the rival of the rival of Vuzanyel?,20672,8694
C,26,15,What is the capital of the rival of the rival of Vuzanyel?,84940,133183
C,0,10,What is the continent of the ally of the rival of Vuzanyel?,4112,5402
C,0,11,What is the continent of the ally of the rival of Vuzanyel?,10164,43805
C,0,12,What is the continent of the ally of the rival of Vuzanyel?,32701,15202
C,0,13,What is the continent of the ally of the rival of Vuzanyel?,133458,51373
C,0,14,What is the continent of the ally of the rival of Vuzanyel?,33233,41094
C,0,15,What is the continent of the ally of the rival of Vuzanyel?,138610,118394
C,1,10,What is the continent of the ally of the rival of Vuzanyel?,5316,352
C,1,11,What is the continent of the ally of the rival of Vuzanyel?,13417,5029
C,1,12,What is the continent of the ally of the rival of Vuzanyel?,82766,6143
C,1,13,What is the continent of the ally of the rival of Vuzanyel?,139790,28270
C,1,14,What is the continent of the ally of the rival of Vuzanyel?,67937,74154
C,1,15,What is the continent of the ally of the rival of Vuzanyel?,141036,94066
C,2,10,What is the continent of the ally of the rival of Vuzanyel?,7270,365
C,2,11,What is the continent of the ally of the rival of Vuzanyel?,14744,3914
C,2,12,What is the continent of the ally of the rival of Vuzanyel?,118543,7305
C,2,13,What is the continent of the ally of the rival of Vuzanyel?,115150,20437
C,2,14,What is the continent of the ally of the rival of Vuzanyel?,76756,55660
C,2,15,What is the continent of the ally of the rival of Vuzanyel?,143231,111650
C,3,10,What is the continent of the ally of the rival of Vuzanyel?,7339,222
C,3,11,What is the continent of the ally of the rival of Vuzanyel?,12543,503
C,3,12,What is the continent of the ally of the rival of Vuzanyel?,83522,312
C,3,13,What is the continent of the ally of the rival of Vuzanyel?,90910,2180
C,3,14,What is the continent of the ally of the rival of Vuzanyel?,62214,11740
C,3,15,What is the continent of the ally of the rival of Vuzanyel?,140382,35919
C,4,10,What is the continent of the ally of the rival of Vuzanyel?,6344,446
C,4,11,What is the continent of the ally of the rival of Vuzanyel?,22172,913
C,4,12,What is the continent of the ally of the rival of Vuzanyel?,98480,1518
C,4,13,What is the continent of the ally of the rival of Vuzanyel?,79965,9669
C,4,14,What is the continent of the ally of the rival of Vuzanyel?,68741,39323
C,4,15,What is the continent of the ally of the rival of Vuzanyel?,140545,56878
C,5,10,What is the continent of the ally of the rival of Vuzanyel?,11530,614
C,5,11,What is the continent of the ally of the rival of Vuzanyel?,40446,1227
C,5,12,What is the continent of the ally of the rival of Vuzanyel?,133686,3095
C,5,13,What is the continent of the ally of the rival of Vuzanyel?,126411,34986
C,5,14,What is the continent of the ally of the rival of Vuzanyel?,120894,62824
C,5,15,What is the continent of the ally of the rival of Vuzanyel?,147253,44162
C,6,10,What is the continent of the ally of the rival of Vuzanyel?,12117,204
C,6,11,What is the continent of the ally of the rival of Vuzanyel?,38694,738
C,6,12,What is the continent of the ally of the rival of Vuzanyel?,124260,658
C,6,13,What is the continent of the ally of the rival of Vuzanyel?,135493,17552
C,6,14,What is the continent of the ally of the rival of Vuzanyel?,127185,48002
C,6,15,What is the continent of the ally of the rival of Vuzanyel?,141539,4782
C,7,10,What is the continent of the ally of the rival of Vuzanyel?,14299,338
C,7,11,What is the continent of the ally of the rival of Vuzanyel?,52331,1385
C,7,12,What is the continent of the ally of the rival of Vuzanyel?,128609,1356
C,7,13,What is the continent of the ally of the rival of Vuzanyel?,135722,22111
C,7,14,What is the continent of the ally of the rival of Vuzanyel?,130793,53183
C,7,15,What is the continent of the ally of the rival of Vuzanyel?,144108,4762
C,8,10,What is the continent of the ally of the rival of Vuzanyel?,13551,200
C,8,11,What is the continent of the ally of the rival of Vuzanyel?,50474,971
C,8,12,What is the continent of the ally of the rival of Vuzanyel?,137983,3529
C,8,13,What is the continent of the ally of the rival of Vuzanyel?,140677,21601
C,8,14,What is the continent of the ally of the rival of Vuzanyel?,135132,55502
C,8,15,What is the continent of the ally of the rival of Vuzanyel?,142168,6066
C,9,10,What is the continent of the ally of the rival of Vuzanyel?,9328,314
C,9,11,What is the continent of the ally of the rival of Vuzanyel?,75313,3015
C,9,12,What is the continent of the ally of the rival of Vuzanyel?,145055,10256
C,9,13,What is the continent of the ally of the rival of Vuzanyel?,139558,17995
C,9,14,What is the continent of the ally of the rival of Vuzanyel?,134384,62683
C,9,15,What is the continent of the ally of the rival of Vuzanyel?,140257,35902
C,10,10,What is the continent of the ally of the rival of Vuzanyel?,12697,230
C,10,11,What is the continent of the ally of the rival of Vuzanyel?,104057,13360
C,10,12,What is the continent of the ally of the rival of Vuzanyel?,149490,65769
C,10,13,What is the continent of the ally of the rival of Vuzanyel?,148612,57181
C,10,14,What is the continent of the ally of the rival of Vuzanyel?,145868,98188
C,10,15,What is the continent of the ally of the rival of Vuzanyel?,148918,74850
C,11,10,What is the continent of the ally of the rival of Vuzanyel?,13349,161
C,11,11,What is the continent of the ally of the rival of Vuzanyel?,103734,10358
C,11,12,What is the continent of the ally of the rival of Vuzanyel?,151114,54645
C,11,13,What is the continent of the ally of the rival of Vuzanyel?,149843,28866
C,11,14,What is the continent of the ally of the rival of Vuzanyel?,145568,54763
C,11,15,What is the continent of the ally of the rival of Vuzanyel?,149819,64711
C,12,10,What is the continent of the ally of the rival of Vuzanyel?,5677,75
C,12,11,What is the continent of the ally of the rival of Vuzanyel?,69446,8971
C,12,12,What is the continent of the ally of the rival of Vuzanyel?,150966,40263
C,12,13,What is the continent of the ally of the rival of Vuzanyel?,149436,25990
C,12,14,What is the continent of the ally of the rival of Vuzanyel?,145989,63125
C,12,15,What is the continent of the ally of the rival of Vuzanyel?,130376,69347
C,13,10,What is the continent of the ally of the rival of Vuzanyel?,1796,85
C,13,11,What is the continent of the ally of the rival of Vuzanyel?,37910,6585
C,13,12,What is the continent of the ally of the rival of Vuzanyel?,149281,40783
C,13,13,What is the continent of the ally of the rival of Vuzanyel?,145990,28311
C,13,14,What is the continent of the ally of the rival of Vuzanyel?,137281,67428
C,13,15,What is the continent of the ally of the rival of Vuzanyel?,140546,129016
C,14,10,What is the continent of the ally of the rival of Vuzanyel?,1180,210
C,14,11,What is the continent of the ally of the rival of Vuzanyel?,41089,19047
C,14,12,What is the continent of the ally of the rival of Vuzanyel?,147287,37891
C,14,13,What is the continent of the ally of the rival of Vuzanyel?,143418,47639
C,14,14,What is the continent of the ally of the rival of Vuzanyel?,133333,80628
C,14,15,What is the continent of the ally of the rival of Vuzanyel?,138430,144365
C,15,10,What is the continent of the ally of the rival of Vuzanyel?,437,93
C,15,11,What is the continent of the ally of the rival of Vuzanyel?,33836,7388
C,15,12,What is the continent of the ally of the rival of Vuzanyel?,145556,49271
C,15,13,What is the continent of the ally of the rival of Vuzanyel?,144070,77300
C,15,14,What is the continent of the ally of the rival of Vuzanyel?,137764,99708
C,15,15,What is the continent of the ally of the rival of Vuzanyel?,130634,141384
C,16,10,What is the continent of the ally of the rival of Vuzanyel?,225,55
C,16,11,What is the continent of the ally of the rival of Vuzanyel?,43117,30032
C,16,12,What is the continent of the ally of the rival of Vuzanyel?,147007,111411
C,16,13,What is the continent of the ally of the rival of Vuzanyel?,145462,140749
C,16,14,What is the continent of the ally of the rival of Vuzanyel?,136368,146707
C,16,15,What is the continent of the ally of the rival of Vuzanyel?,128808,141477
C,17,10,What is the continent of the ally of the rival of Vuzanyel?,50,130
C,17,11,What is the continent of the ally of the rival of Vuzanyel?,34589,28036
C,17,12,What is the continent of the ally of the rival of Vuzanyel?,136220,94883
C,17,13,What is the continent of the ally of the rival of Vuzanyel?,144010,145520
C,17,14,What is the continent of the ally of the rival of Vuzanyel?,139974,149388
C,17,15,What is the continent of the ally of the rival of Vuzanyel?,130576,151063
C,18,10,What is the continent of the ally of the rival of Vuzanyel?,1,123
C,18,11,What is the continent of the ally of the rival of Vuzanyel?,15614,8869
C,18,12,What is the continent of the ally of the rival of Vuzanyel?,92488,75243
C,18,13,What is the continent of the ally of the rival of Vuzanyel?,143345,130258
C,18,14,What is the continent of the ally of the rival of Vuzanyel?,124371,135129
C,18,15,What is the continent of the ally of the rival of Vuzanyel?,116206,149542
C,19,10,What is the continent of the ally of the rival of Vuzanyel?,0,65
C,19,11,What is the continent of the ally of the rival of Vuzanyel?,2060,190
C,19,12,What is the continent of the ally of the rival of Vuzanyel?,9298,9789
C,19,13,What is the continent of the ally of the rival of Vuzanyel?,97247,99352
C,19,14,What is the continent of the ally of the rival of Vuzanyel?,93045,86398
C,19,15,What is the continent of the ally of the rival of Vuzanyel?,128196,148244
C,20,10,What is the continent of the ally of the rival of Vuzanyel?,0,186
C,20,11,What is the continent of the ally of the rival of Vuzanyel?,3257,1615
C,20,12,What is the continent of the ally of the rival of Vuzanyel?,5658,14649
C,20,13,What is the continent of the ally of the rival of Vuzanyel?,62061,103129
C,20,14,What is the continent of the ally of the rival of Vuzanyel?,40642,74722
C,20,15,What is the continent of the ally of the rival of Vuzanyel?,116793,148789
C,21,10,What is the continent of the ally of the rival of Vuzanyel?,0,465
C,21,11,What is the continent of the ally of the rival of Vuzanyel?,3036,542
C,21,12,What is the continent of the ally of the rival of Vuzanyel?,8905,10565
C,21,13,What is the continent of the ally of the rival of Vuzanyel?,54314,55233
C,21,14,What is the continent of the ally of the rival of Vuzanyel?,50042,49416
C,21,15,What is the continent of the ally of the rival of Vuzanyel?,119114,147039
C,22,10,What is the continent of the ally of the rival of Vuzanyel?,0,327
C,22,11,What is the continent of the ally of the rival of Vuzanyel?,3089,1351
C,22,12,What is the continent of the ally of the rival of Vuzanyel?,8212,11392
C,22,13,What is the continent of the ally of the rival of Vuzanyel?,71262,59815
C,22,14,What is the continent of the ally of the rival of Vuzanyel?,62298,34590
C,22,15,What is the continent of the ally of the rival of Vuzanyel?,121086,147445
C,23,10,What is the continent of the ally of the rival of Vuzanyel?,0,429
C,23,11,What is the continent of the ally of the rival of Vuzanyel?,2208,1448
C,23,12,What is the continent of the ally of the rival of Vuzanyel?,6866,6988
C,23,13,What is the continent of the ally of the rival of Vuzanyel?,27213,76864
C,23,14,What is the continent of the ally of the rival of Vuzanyel?,24206,32491
C,23,15,What is the continent of the ally of the rival of Vuzanyel?,122892,144266
C,24,10,What is the continent of the ally of the rival of Vuzanyel?,3,114
C,24,11,What is the continent of the ally of the rival of Vuzanyel?,3052,1366
C,24,12,What is the continent of the ally of the rival of Vuzanyel?,4002,2189
C,24,13,What is the continent of the ally of the rival of Vuzanyel?,27439,64314
C,24,14,What is the continent of the ally of the rival of Vuzanyel?,31218,24580
C,24,15,What is the continent of the ally of the rival of Vuzanyel?,120141,131039
C,25,10,What is the continent of the ally of the rival of Vuzanyel?,11,32
C,25,11,What is the continent of the ally of the rival of Vuzanyel?,4444,2265
C,25,12,What is the continent of the ally of the rival of Vuzanyel?,2223,3404
C,25,13,What is the continent of the ally of the rival of Vuzanyel?,14558,40835
C,25,14,What is the continent of the ally of the rival of Vuzanyel?,39103,6744
C,25,15,What is the continent of the ally of the rival of Vuzanyel?,107704,132762
C,26,10,What is the continent of the ally of the rival of Vuzanyel?,4,28
C,26,11,What is the continent of the ally of the rival of Vuzanyel?,2920,776
C,26,12,What is the continent of the ally of the rival of Vuzanyel?,1525,879
C,26,13,What is the continent of the ally of the rival of Vuzanyel?,10427,28876
C,26,14,What is the continent of the ally of the rival of Vuzanyel?,13798,1289
C,26,15,What is the continent of the ally of the rival of Vuzanyel?,86566,133698
C,0,10,What is the currency of the ally of the rival of Vuzanyel?,4052,4591
C,0,11,What is the currency of the ally of the rival of Vuzanyel?,7932,8911
C,0,12,What is the currency of the ally of the rival of Vuzanyel?,32627,13225
C,0,13,What is the currency of the ally of the rival of Vuzanyel?,133268,35818
C,0,14,What is the currency of the ally of the rival of Vuzanyel?,32845,28735
C,0,15,What is the currency of the ally of the rival of Vuzanyel?,138223,123632
C,1,10,What is the currency of the ally of the rival of Vuzanyel?,5168,1871
C,1,11,What is the currency of the ally of the rival of Vuzanyel?,11911,2240
C,1,12,What is the currency of the ally of the rival of Vuzanyel?,80732,5241
C,1,13,What is the currency of the ally of the rival of Vuzanyel?,139670,52112
C,1,14,What is the currency of the ally of the rival of Vuzanyel?,67710,62367
C,1,15,What is the currency of the ally of the rival of Vuzanyel?,140654,102916
C,2,10,What is the currency of the ally of the rival of Vuzanyel?,7281,960
C,2,11,What is the currency of the ally of the rival of Vuzanyel?,12957,2080
C,2,12,What is the currency of the ally of the rival of Vuzanyel?,116890,8723
C,2,13,What is the currency of the ally of the rival of Vuzanyel?,114271,26269
C,2,14,What is the currency of the ally of the rival of Vuzanyel?,76182,39216
C,2,15,What is the currency of the ally of the rival of Vuzanyel?,143229,119154
C,3,10,What is the currency of the ally of the rival of Vuzanyel?,6919,945
C,3,11,What is the currency of the ally of the rival of Vuzanyel?,10083,692
C,3,12,What is the currency of the ally of the rival of Vuzanyel?,80776,2835
C,3,13,What is the currency of the ally of the rival of Vuzanyel?,90900,7918
C,3,14,What is the currency of the ally of the rival of Vuzanyel?,60949,18419
C,3,15,What is the currency of the ally of the rival of Vuzanyel?,139337,44786
C,4,10,What is the currency of the ally of the rival of Vuzanyel?,6235,1458
C,4,11,What is the currency of the ally of the rival of Vuzanyel?,17823,917
C,4,12,What is the currency of the ally of the rival of Vuzanyel?,96842,7418
C,4,13,What is the currency of the ally of the rival of Vuzanyel?,79863,19804
C,4,14,What is the currency of the ally of the rival of Vuzanyel?,67973,52755
C,4,15,What is the currency of the ally of the rival of Vuzanyel?,141281,64479
C,5,10,What is the currency of the ally of the rival of Vuzanyel?,11322,2170
C,5,11,What is the currency of the ally of the rival of Vuzanyel?,34153,1100
C,5,12,What is the currency of the ally of the rival of Vuzanyel?,132358,6589
C,5,13,What is the currency of the ally of the rival of Vuzanyel?,126704,34273
C,5,14,What is the currency of the ally of the rival of Vuzanyel?,120109,63969
C,5,15,What is the currency of the ally of the rival of Vuzanyel?,147959,63852
C,6,10,What is the currency of the ally of the rival of Vuzanyel?,11431,962
C,6,11,What is the currency of the ally of the rival of Vuzanyel?,33465,984
C,6,12,What is the currency of the ally of the rival of Vuzanyel?,122645,3168
C,6,13,What is the currency of the ally of the rival of Vuzanyel?,135152,23154
C,6,14,What is the currency of the ally of the rival of Vuzanyel?,126408,64287
C,6,15,What is the currency of the ally of the rival of Vuzanyel?,143409,23758
C,7,10,What is the currency of the ally of the rival of Vuzanyel?,13779,1067
C,7,11,What is the currency of the ally of the rival of Vuzanyel?,47173,1570
C,7,12,What is the currency of the ally of the rival of Vuzanyel?,125684,2880
C,7,13,What is the currency of the ally of the rival of Vuzanyel?,134384,16841
C,7,14,What is the currency of the ally of the rival of Vuzanyel?,128772,53017
C,7,15,What is the currency of the ally of the rival of Vuzanyel?,144267,17700
C,8,10,What is the currency of the ally of the rival of Vuzanyel?,12448,719
C,8,11,What is the currency of the ally of the rival of Vuzanyel?,45716,1582
C,8,12,What is the currency of the ally of the rival of Vuzanyel?,137196,9743
C,8,13,What is the currency of the ally of the rival of Vuzanyel?,140614,26124
C,8,14,What is the currency of the ally of the rival of Vuzanyel?,134152,71468
C,8,15,What is the currency of the ally of the rival of Vuzanyel?,143965,26098
C,9,10,What is the currency of the ally of the rival of Vuzanyel?,7810,1190
C,9,11,What is the currency of the ally of the rival of Vuzanyel?,67471,5827
C,9,12,What is the currency of the ally of the rival of Vuzanyel?,144395,19306
C,9,13,What is the currency of the ally of the rival of Vuzanyel?,139429,27464
C,9,14,What is the currency of the ally of the rival of Vuzanyel?,133446,74440
C,9,15,What is the currency of the ally of the rival of Vuzanyel?,144771,64150
C,10,10,What is the currency of the ally of the rival of Vuzanyel?,9580,906
C,10,11,What is the currency of the ally of the rival of Vuzanyel?,99986,25624
C,10,12,What is the currency of the ally of the rival of Vuzanyel?,149196,91796
C,10,13,What is the currency of the ally of the rival of Vuzanyel?,148687,67689
C,10,14,What is the currency of the ally of the rival of Vuzanyel?,145407,114234
C,10,15,What is the currency of the ally of the rival of Vuzanyel?,151376,113841
C,11,10,What is the currency of the ally of the rival of Vuzanyel?,11650,664
C,11,11,What is the currency of the ally of the rival of Vuzanyel?,104427,18651
C,11,12,What is the currency of the ally of the rival of Vuzanyel?,151015,91778
C,11,13,What is the currency of the ally of the rival of Vuzanyel?,150047,42989
C,11,14,What is the currency of the ally of the rival of Vuzanyel?,145912,77446
C,11,15,What is the currency of the ally of the rival of Vuzanyel?,151471,106266
C,12,10,What is the currency of the ally of the rival of Vuzanyel?,4281,463
C,12,11,What is the currency of the ally of the rival of Vuzanyel?,61800,15273
C,12,12,What is the currency of the ally of the rival of Vuzanyel?,150534,72878
C,12,13,What is the currency of the ally of the rival of Vuzanyel?,149373,40262
C,12,14,What is the currency of the ally of the rival of Vuzanyel?,145507,92848
