block,layer,position,prompt,rank_intermediate,rank_answer
ic,9,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,50485,58561
ic,10,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,36788,40376
ic,10,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,120723,107476
ic,10,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,111484,118248
ic,10,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,96607,106074
ic,10,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,85000,74359
ic,10,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,106915,113397
ic,11,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,18948,27284
ic,11,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,115662,97408
ic,11,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,98416,105109
ic,11,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,54395,80735
ic,11,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,80545,69275
ic,11,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,78637,81511
ic,12,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,7218,8766
ic,12,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,53636,39873
ic,12,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,41320,48719
ic,12,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,146303,146456
ic,12,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,22854,18105
ic,12,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,34106,35149
ic,13,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,3134,4400
ic,13,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,26379,22634
ic,13,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,35288,47163
ic,13,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,7556,12877
ic,13,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,8811,10172
ic,13,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,20328,26526
ic,14,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,5393,6608
ic,14,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,74054,60480
ic,14,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,74018,79677
ic,14,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,86501,77135
ic,14,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,35428,31029
ic,14,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,34437,33401
ic,15,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,6284,6805
ic,15,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,85289,65114
ic,15,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,92432,101305
ic,15,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,79481,71419
ic,15,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,33636,23303
ic,15,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,45304,40758
ic,16,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,11825,12629
ic,16,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,78725,58027
ic,16,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,61056,74849
ic,16,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,56112,47201
ic,16,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,18464,22546
ic,16,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,109705,97048
ic,17,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,23890,21699
ic,17,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,118360,106701
ic,17,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,107540,112950
ic,17,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,118136,107193
ic,17,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,118767,126896
ic,17,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,121416,125904
ic,18,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,25351,19577
ic,18,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,122551,106275
ic,18,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,122259,121456
ic,18,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,140009,131878
ic,18,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,131562,131922
ic,18,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,128828,129881
ic,19,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,7583,7409
ic,19,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,106060,42088
ic,19,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,131432,90200
ic,19,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,148773,128501
ic,19,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,134772,129410
ic,19,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,122079,72396
ic,20,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,6072,5982
ic,20,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,73745,43313
ic,20,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,130141,87320
ic,20,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,150697,144082
ic,20,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,143202,132339
ic,20,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,128385,97855
ic,21,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,104,1111
ic,21,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,46331,35590
ic,21,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,113336,57913
ic,21,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,148049,122584
ic,21,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,123830,124364
ic,21,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,109095,102068
ic,22,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,6,830
ic,22,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,40658,40484
ic,22,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,66853,36531
ic,22,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,126442,75325
ic,22,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,70435,77843
ic,22,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,24523,42312
ic,23,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,8,457
ic,23,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,34231,30522
ic,23,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,52863,33724
ic,23,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,75773,79226
ic,23,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,34961,39220
ic,23,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,41247,38729
ic,24,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,2,167
ic,24,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,22849,21339
ic,24,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,24756,20035
ic,24,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,20850,20089
ic,24,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1062,6075
ic,24,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,10936,6137
ic,25,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1,90
ic,25,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,16497,16704
ic,25,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,9656,11390
ic,25,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,4152,6927
ic,25,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,350,1798
ic,25,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1333,1753
ic,26,98,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1,24
ic,26,99,The rival of Ramin is Yeldun. The continent of Shilo is Losu,6560,6361
ic,26,100,The rival of Ramin is Yeldun. The continent of Shilo is Losu,3029,3447
ic,26,101,The rival of Ramin is Yeldun. The continent of Shilo is Losu,1146,1887
ic,26,102,The rival of Ramin is Yeldun. The continent of Shilo is Losu,190,698
ic,26,103,The rival of Ramin is Yeldun. The continent of Shilo is Losu,281,478
ic,0,102,The language of Savrudka is Fisushi. The ally of Gortolka is,7969,12941
ic,0,103,The language of Savrudka is Fisushi. The ally of Gortolka is,10553,17394
ic,0,104,The language of Savrudka is Fisushi. The ally of Gortolka is,33850,38924
ic,0,105,The language of Savrudka is Fisushi. The ally of Gortolka is,44854,36921
ic,0,106,The language of Savrudka is Fisushi. The ally of Gortolka is,26231,39489
ic,0,107,The language of Savrudka is Fisushi. The ally of Gortolka is,34023,45053
ic,1,102,The language of Savrudka is Fisushi. The ally of Gortolka is,12656,13173
ic,1,103,The language of Savrudka is Fisushi. The ally of Gortolka is,44519,50198
ic,1,104,The language of Savrudka is Fisushi. The ally of Gortolka is,58984,54607
ic,1,105,The language of Savrudka is Fisushi. The ally of Gortolka is,94026,75038
ic,1,106,The language of Savrudka is Fisushi. The ally of Gortolka is,86641,84104
ic,1,107,The language of Savrudka is Fisushi. The ally of Gortolka is,45583,49461
ic,2,102,The language of Savrudka is Fisushi. The ally of Gortolka is,12981,12380
ic,2,103,The language of Savrudka is Fisushi. The ally of Gortolka is,100744,88232
ic,2,104,The language of Savrudka is Fisushi. The ally of Gortolka is,124173,115918
ic,2,105,The language of Savrudka is Fisushi. The ally of Gortolka is,119346,105383
ic,2,106,The language of Savrudka is Fisushi. The ally of Gortolka is,106992,104878
ic,2,107,The language of Savrudka is Fisushi. The ally of Gortolka is,104485,104632
ic,3,102,The language of Savrudka is Fisushi. The ally of Gortolka is,983,890
ic,3,103,The language of Savrudka is Fisushi. The ally of Gortolka is,16368,12027
ic,3,104,The language of Savrudka is Fisushi. The ally of Gortolka is,28129,17229
ic,3,105,The language of Savrudka is Fisushi. The ally of Gortolka is,27718,14499
ic,3,106,The language of Savrudka is Fisushi. The ally of Gortolka is,4942,4163
ic,3,107,The language of Savrudka is Fisushi. The ally of Gortolka is,18330,17402
ic,4,102,The language of Savrudka is Fisushi. The ally of Gortolka is,4313,5558
ic,4,103,The language of Savrudka is Fisushi. The ally of Gortolka is,116058,117174
ic,4,104,The language of Savrudka is Fisushi. The ally of Gortolka is,108413,90602
ic,4,105,The language of Savrudka is Fisushi. The ally of Gortolka is,122575,110005
ic,4,106,The language of Savrudka is Fisushi. The ally of Gortolka is,42834,51825
ic,4,107,The language of Savrudka is Fisushi. The ally of Gortolka is,98077,91758
ic,5,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2387,3415
ic,5,103,The language of Savrudka is Fisushi. The ally of Gortolka is,56619,65798
ic,5,104,The language of Savrudka is Fisushi. The ally of Gortolka is,96272,89362
ic,5,105,The language of Savrudka is Fisushi. The ally of Gortolka is,96842,84159
ic,5,106,The language of Savrudka is Fisushi. The ally of Gortolka is,18628,31663
ic,5,107,The language of Savrudka is Fisushi. The ally of Gortolka is,41653,40548
ic,6,102,The language of Savrudka is Fisushi. The ally of Gortolka is,3019,6978
ic,6,103,The language of Savrudka is Fisushi. The ally of Gortolka is,79261,93572
ic,6,104,The language of Savrudka is Fisushi. The ally of Gortolka is,105680,101159
ic,6,105,The language of Savrudka is Fisushi. The ally of Gortolka is,110722,100752
ic,6,106,The language of Savrudka is Fisushi. The ally of Gortolka is,49753,74463
ic,6,107,The language of Savrudka is Fisushi. The ally of Gortolka is,15972,19436
ic,7,102,The language of Savrudka is Fisushi. The ally of Gortolka is,6455,10520
ic,7,103,The language of Savrudka is Fisushi. The ally of Gortolka is,59475,67895
ic,7,104,The language of Savrudka is Fisushi. The ally of Gortolka is,96428,90291
ic,7,105,The language of Savrudka is Fisushi. The ally of Gortolka is,76850,66230
ic,7,106,The language of Savrudka is Fisushi. The ally of Gortolka is,29358,43646
ic,7,107,The language of Savrudka is Fisushi. The ally of Gortolka is,23196,25810
ic,8,102,The language of Savrudka is Fisushi. The ally of Gortolka is,65511,69318
ic,8,103,The language of Savrudka is Fisushi. The ally of Gortolka is,103091,106216
ic,8,104,The language of Savrudka is Fisushi. The ally of Gortolka is,123912,116101
ic,8,105,The language of Savrudka is Fisushi. The ally of Gortolka is,79246,67013
ic,8,106,The language of Savrudka is Fisushi. The ally of Gortolka is,48824,66462
ic,8,107,The language of Savrudka is Fisushi. The ally of Gortolka is,68926,98996
ic,9,102,The language of Savrudka is Fisushi. The ally of Gortolka is,45447,51671
ic,9,103,The language of Savrudka is Fisushi. The ally of Gortolka is,96213,94504
ic,9,104,The language of Savrudka is Fisushi. The ally of Gortolka is,92651,85367
ic,9,105,The language of Savrudka is Fisushi. The ally of Gortolka is,65929,53114
ic,9,106,The language of Savrudka is Fisushi. The ally of Gortolka is,37256,51248
ic,9,107,The language of Savrudka is Fisushi. The ally of Gortolka is,44225,53707
ic,10,102,The language of Savrudka is Fisushi. The ally of Gortolka is,28465,31000
ic,10,103,The language of Savrudka is Fisushi. The ally of Gortolka is,103491,114238
ic,10,104,The language of Savrudka is Fisushi. The ally of Gortolka is,103577,104778
ic,10,105,The language of Savrudka is Fisushi. The ally of Gortolka is,57857,43275
ic,10,106,The language of Savrudka is Fisushi. The ally of Gortolka is,37119,54881
ic,10,107,The language of Savrudka is Fisushi. The ally of Gortolka is,104211,109120
ic,11,102,The language of Savrudka is Fisushi. The ally of Gortolka is,12704,18819
ic,11,103,The language of Savrudka is Fisushi. The ally of Gortolka is,83054,96102
ic,11,104,The language of Savrudka is Fisushi. The ally of Gortolka is,88930,83842
ic,11,105,The language of Savrudka is Fisushi. The ally of Gortolka is,47261,34720
ic,11,106,The language of Savrudka is Fisushi. The ally of Gortolka is,24083,34554
ic,11,107,The language of Savrudka is Fisushi. The ally of Gortolka is,79964,80810
ic,12,102,The language of Savrudka is Fisushi. The ally of Gortolka is,6006,7175
ic,12,103,The language of Savrudka is Fisushi. The ally of Gortolka is,39292,48024
ic,12,104,The language of Savrudka is Fisushi. The ally of Gortolka is,51574,47602
ic,12,105,The language of Savrudka is Fisushi. The ally of Gortolka is,27904,18315
ic,12,106,The language of Savrudka is Fisushi. The ally of Gortolka is,9438,14489
ic,12,107,The language of Savrudka is Fisushi. The ally of Gortolka is,31943,34316
ic,13,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2769,3907
ic,13,103,The language of Savrudka is Fisushi. The ally of Gortolka is,33312,41098
ic,13,104,The language of Savrudka is Fisushi. The ally of Gortolka is,47392,40258
ic,13,105,The language of Savrudka is Fisushi. The ally of Gortolka is,20555,14665
ic,13,106,The language of Savrudka is Fisushi. The ally of Gortolka is,8576,12762
ic,13,107,The language of Savrudka is Fisushi. The ally of Gortolka is,15938,22009
ic,14,102,The language of Savrudka is Fisushi. The ally of Gortolka is,4940,6937
ic,14,103,The language of Savrudka is Fisushi. The ally of Gortolka is,89164,88687
ic,14,104,The language of Savrudka is Fisushi. The ally of Gortolka is,87998,73969
ic,14,105,The language of Savrudka is Fisushi. The ally of Gortolka is,24105,18812
ic,14,106,The language of Savrudka is Fisushi. The ally of Gortolka is,40071,38251
ic,14,107,The language of Savrudka is Fisushi. The ally of Gortolka is,40073,39521
ic,15,102,The language of Savrudka is Fisushi. The ally of Gortolka is,6486,7487
ic,15,103,The language of Savrudka is Fisushi. The ally of Gortolka is,105941,107340
ic,15,104,The language of Savrudka is Fisushi. The ally of Gortolka is,129065,121992
ic,15,105,The language of Savrudka is Fisushi. The ally of Gortolka is,87227,78507
ic,15,106,The language of Savrudka is Fisushi. The ally of Gortolka is,23305,21124
ic,15,107,The language of Savrudka is Fisushi. The ally of Gortolka is,43290,38575
ic,16,102,The language of Savrudka is Fisushi. The ally of Gortolka is,14797,18908
ic,16,103,The language of Savrudka is Fisushi. The ally of Gortolka is,103686,92089
ic,16,104,The language of Savrudka is Fisushi. The ally of Gortolka is,128653,110786
ic,16,105,The language of Savrudka is Fisushi. The ally of Gortolka is,103482,99785
ic,16,106,The language of Savrudka is Fisushi. The ally of Gortolka is,39155,51696
ic,16,107,The language of Savrudka is Fisushi. The ally of Gortolka is,113288,101402
ic,17,102,The language of Savrudka is Fisushi. The ally of Gortolka is,42761,42808
ic,17,103,The language of Savrudka is Fisushi. The ally of Gortolka is,129727,125143
ic,17,104,The language of Savrudka is Fisushi. The ally of Gortolka is,139937,130558
ic,17,105,The language of Savrudka is Fisushi. The ally of Gortolka is,120445,112282
ic,17,106,The language of Savrudka is Fisushi. The ally of Gortolka is,134013,143722
ic,17,107,The language of Savrudka is Fisushi. The ally of Gortolka is,125212,129663
ic,18,102,The language of Savrudka is Fisushi. The ally of Gortolka is,55971,48565
ic,18,103,The language of Savrudka is Fisushi. The ally of Gortolka is,135009,126160
ic,18,104,The language of Savrudka is Fisushi. The ally of Gortolka is,147720,140024
ic,18,105,The language of Savrudka is Fisushi. The ally of Gortolka is,137325,121414
ic,18,106,The language of Savrudka is Fisushi. The ally of Gortolka is,146273,146395
ic,18,107,The language of Savrudka is Fisushi. The ally of Gortolka is,128854,130253
ic,19,102,The language of Savrudka is Fisushi. The ally of Gortolka is,19932,14901
ic,19,103,The language of Savrudka is Fisushi. The ally of Gortolka is,141986,124226
ic,19,104,The language of Savrudka is Fisushi. The ally of Gortolka is,150479,143923
ic,19,105,The language of Savrudka is Fisushi. The ally of Gortolka is,139250,109655
ic,19,106,The language of Savrudka is Fisushi. The ally of Gortolka is,146095,144940
ic,19,107,The language of Savrudka is Fisushi. The ally of Gortolka is,129043,88056
ic,20,102,The language of Savrudka is Fisushi. The ally of Gortolka is,17941,12182
ic,20,103,The language of Savrudka is Fisushi. The ally of Gortolka is,128231,66267
ic,20,104,The language of Savrudka is Fisushi. The ally of Gortolka is,150514,147560
ic,20,105,The language of Savrudka is Fisushi. The ally of Gortolka is,147067,130567
ic,20,106,The language of Savrudka is Fisushi. The ally of Gortolka is,145171,143185
ic,20,107,The language of Savrudka is Fisushi. The ally of Gortolka is,134543,108950
ic,21,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2949,4178
ic,21,103,The language of Savrudka is Fisushi. The ally of Gortolka is,104575,33391
ic,21,104,The language of Savrudka is Fisushi. The ally of Gortolka is,150247,141022
ic,21,105,The language of Savrudka is Fisushi. The ally of Gortolka is,129337,111764
ic,21,106,The language of Savrudka is Fisushi. The ally of Gortolka is,136388,136429
ic,21,107,The language of Savrudka is Fisushi. The ally of Gortolka is,121623,107621
ic,22,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2,1649
ic,22,103,The language of Savrudka is Fisushi. The ally of Gortolka is,103164,63857
ic,22,104,The language of Savrudka is Fisushi. The ally of Gortolka is,139194,112340
ic,22,105,The language of Savrudka is Fisushi. The ally of Gortolka is,84971,77897
ic,22,106,The language of Savrudka is Fisushi. The ally of Gortolka is,93340,88465
ic,22,107,The language of Savrudka is Fisushi. The ally of Gortolka is,34439,45218
ic,23,102,The language of Savrudka is Fisushi. The ally of Gortolka is,8,980
ic,23,103,The language of Savrudka is Fisushi. The ally of Gortolka is,67881,17148
ic,23,104,The language of Savrudka is Fisushi. The ally of Gortolka is,115968,107581
ic,23,105,The language of Savrudka is Fisushi. The ally of Gortolka is,46849,33650
ic,23,106,The language of Savrudka is Fisushi. The ally of Gortolka is,45564,45027
ic,23,107,The language of Savrudka is Fisushi. The ally of Gortolka is,53077,44140
ic,24,102,The language of Savrudka is Fisushi. The ally of Gortolka is,2,461
ic,24,103,The language of Savrudka is Fisushi. The ally of Gortolka is,22332,6135
ic,24,104,The language of Savrudka is Fisushi. The ally of Gortolka is,61567,60295
ic,24,105,The language of Savrudka is Fisushi. The ally of Gortolka is,17923,12006
ic,24,106,The language of Savrudka is Fisushi. The ally of Gortolka is,3814,7890
ic,24,107,The language of Savrudka is Fisushi. The ally of Gortolka is,19079,6597
ic,25,102,The language of Savrudka is Fisushi. The ally of Gortolka is,5,236
ic,25,103,The language of Savrudka is Fisushi. The ally of Gortolka is,8368,4359
ic,25,104,The language of Savrudka is Fisushi. The ally of Gortolka is,14437,17617
ic,25,105,The language of Savrudka is Fisushi. The ally of Gortolka is,4532,4637
ic,25,106,The language of Savrudka is Fisushi. The ally of Gortolka is,635,2327
ic,25,107,The language of Savrudka is Fisushi. The ally of Gortolka is,1935,1613
ic,26,102,The language of Savrudka is Fisushi. The ally of Gortolka is,7,47
ic,26,103,The language of Savrudka is Fisushi. The ally of Gortolka is,1788,1221
ic,26,104,The language of Savrudka is Fisushi. The ally of Gortolka is,3304,3718
ic,26,105,The language of Savrudka is Fisushi. The ally of Gortolka is,1463,1515
ic,26,106,The language of Savrudka is Fisushi. The ally of Gortolka is,266,673
ic,26,107,The language of Savrudka is Fisushi. The ally of Gortolka is,387,391
ic,0,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,113712,17076
ic,0,100,The language of Sudunpel is Hanfivu. The language of Yeltis ,8017,40129
ic,0,101,The language of Sudunpel is Hanfivu. The language of Yeltis ,34813,44420
ic,0,102,The language of Sudunpel is Hanfivu. The language of Yeltis ,38104,16383
ic,0,103,The language of Sudunpel is Hanfivu. The language of Yeltis ,67307,14159
ic,0,104,The language of Sudunpel is Hanfivu. The language of Yeltis ,29267,41948
ic,1,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,63208,14198
ic,1,100,The language of Sudunpel is Hanfivu. The language of Yeltis ,6610,58125
ic,1,101,The language of Sudunpel is Hanfivu. The language of Yeltis ,50258,87267
ic,1,102,The language of Sudunpel is Hanfivu. The language of Yeltis ,50671,61776
ic,1,103,The language of Sudunpel is Hanfivu. The language of Yeltis ,73795,61034
ic,1,104,The language of Sudunpel is Hanfivu. The language of Yeltis ,31199,83440
ic,2,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,118447,61727
ic,2,100,The language of Sudunpel is Hanfivu. The language of Yeltis ,4413,52736
ic,2,101,The language of Sudunpel is Hanfivu. The language of Yeltis ,63387,100032
ic,2,102,The language of Sudunpel is Hanfivu. The language of Yeltis ,93750,101479
ic,2,103,The language of Sudunpel is Hanfivu. The language of Yeltis ,56222,61460
ic,2,104,The language of Sudunpel is Hanfivu. The language of Yeltis ,64731,124732
ic,3,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,29396,7028
ic,3,100,The language of Sudunpel is Hanfivu. The language of Yeltis ,1182,10957
ic,3,101,The language of Sudunpel is Hanfivu. The language of Yeltis ,24770,56336
ic,3,102,The language of Sudunpel is Hanfivu. The language of Yeltis ,15519,22746
ic,3,103,The language of Sudunpel is Hanfivu. The language of Yeltis ,3874,7068
ic,3,104,The language of Sudunpel is Hanfivu. The language of Yeltis ,18301,38761
ic,4,99,The language of Sudunpel is Hanfivu. The language of Yeltis ,84317,20586
